Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A721987,,03/08/2016 04:50:00 PM,03/08/2016 04:50:00 PM,Antique Finish & Tapestry in Travis (TX),Stray,Injured,Cat,Neutered Male,15 years,Siamese,Seal Point
A807513,*Manicotti,10/25/2019 03:46:00 PM,10/25/2019 03:46:00 PM,Walnut Creek Park Road And North Lamar Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A821078,,08/03/2020 09:53:00 PM,08/03/2020 09:53:00 PM,15218 Parrish Ln in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Flat Coat Retriever Mix,Black
A693068,*Luci,12/23/2014 05:00:00 PM,12/23/2014 05:00:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Manchester Terrier Mix,Tricolor
A731500,*Higgins,07/23/2016 11:02:00 AM,07/23/2016 11:02:00 AM,Brassiewood Dr And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black
A695942,Austin,01/26/2015 11:28:00 AM,01/26/2015 11:28:00 AM,8628 Manchaca Road in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Buff
A701558,*Cassidy,05/01/2015 02:22:00 PM,05/01/2015 02:22:00 PM,3609 Munson in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
A714209,Jack,10/19/2015 04:29:00 PM,10/19/2015 04:29:00 PM,4106 N. Lamar in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A518230,Maddie,07/11/2019 11:00:00 AM,07/11/2019 11:00:00 AM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,11 years,Pit Bull Mix,Tan
A723284,*Selena,03/29/2016 02:27:00 PM,03/29/2016 02:27:00 PM,9219 Anderson Mill in Austin (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Shorthair Mix,Calico
A676585,Molly,04/12/2014 11:17:00 AM,04/12/2014 11:17:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Australian Shepherd/Boxer,Tan/White
A747593,Lady Bug,04/21/2017 06:50:00 PM,04/21/2017 06:50:00 PM,2283 Airport Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Chocolate
