Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A790645,Lilo,09/08/2019 06:30:00 PM,09/08/2019 06:30:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
A806365,,10/09/2019 03:27:00 PM,10/09/2019 03:27:00 PM,Austin (TX),Stray,Normal,Dog,Intact Female,3 weeks,Cocker Spaniel Mix,Brown/White
A715073,Ozzy,10/31/2015 03:30:00 AM,10/31/2015 03:30:00 AM,1900 Citation in Travis (TX),Public Assist,Normal,Dog,Neutered Male,3 years,German Shepherd Mix,Black/Brown
A729222,,06/14/2016 07:05:00 PM,06/14/2016 07:05:00 PM,Austin (TX),Public Assist,Nursing,Dog,Intact Female,1 weeks,Pit Bull Mix,Blue/White
A712377,,09/22/2015 11:58:00 AM,09/22/2015 11:58:00 AM,3608 Manchaca/Valley View in Austin (TX),Stray,Normal,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Brown Tabby/White
A664708,,10/07/2013 06:13:00 PM,10/07/2013 06:13:00 PM,4300 Mt Vernon Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A802271,*Lily,08/15/2019 06:45:00 PM,08/15/2019 06:45:00 PM,Adina And Bandera in Austin (TX),Stray,Nursing,Dog,Intact Female,1 week,Pit Bull Mix,White/Black
A738136,,11/10/2016 11:13:00 AM,11/10/2016 11:13:00 AM,Hays Hill Drive & Inridge in Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Squirrel Mix,Gray
A817329,Malcolm,05/13/2020 02:43:00 PM,05/13/2020 02:43:00 PM,1601 E Slaughter Lane in Austin (TX),Public Assist,Normal,Cat,Neutered Male,6 years,Manx,Orange Tabby
A817052,*Millie,05/06/2020 12:51:00 PM,05/06/2020 12:51:00 PM,200 W Carrie Manor Rd in Austin (TX),Stray,Injured,Dog,Spayed Female,12 years,Miniature Poodle,White
A708486,*Neriah,07/28/2015 11:58:00 AM,07/28/2015 11:58:00 AM,3406 Sterling Heights Ct in Travis (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
A675091,,03/22/2014 11:35:00 PM,03/22/2014 11:35:00 PM,6636 W William Cannon in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Brown/Black
A736559,,10/12/2016 06:28:00 PM,10/12/2016 06:28:00 PM,603 North Cuernavaca in Travis (TX),Public Assist,Normal,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Tan
A731305,Cookie,07/23/2016 03:36:00 PM,07/23/2016 03:36:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,7 months,Miniature Schnauzer Mix,White/Black
A823991,*Pumpkin,10/03/2020 11:53:00 AM,10/03/2020 11:53:00 AM,Mopac Expressway And Capital Of Texas Highway in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever/Siberian Husky,Tan
A484463,Tully,04/24/2016 03:44:00 PM,04/24/2016 03:44:00 PM,Archeleta Blvd & Rain Lily Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby/White
A724881,*Orville,04/22/2016 03:24:00 PM,04/22/2016 03:24:00 PM,1408 Darjeeling Dr in Pflugerville (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Silver Tabby
A817441,Serious Black,05/15/2020 07:10:00 PM,05/15/2020 07:10:00 PM,23Rd And San Gabriel in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pug,Black/White
A589009,Rogue Momo,12/15/2014 04:08:00 PM,12/15/2014 04:08:00 PM,11200 Lakeline Mall Drive in Cedar Park (TX),Stray,Normal,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black
A732698,*Athena,08/12/2016 11:01:00 AM,08/12/2016 11:01:00 AM,Lexington St And Murray Ave in Manor (TX),Stray,Normal,Dog,Intact Female,1 month,Pit Bull Mix,Blue/White
A752813,*Budz,06/27/2017 04:23:00 PM,06/27/2017 04:23:00 PM,13004 Blackeyed Susan Trail in Travis (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A692525,,11/21/2014 05:38:00 PM,11/21/2014 05:38:00 PM,11011 Hwy 290 in Manor (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Poodle,White
A734986,,09/16/2016 01:50:00 PM,09/16/2016 01:50:00 PM,6204 Marigold Terrace in Austin (TX),Wildlife,Sick,Other,Unknown,6 months,Opossum Mix,Gray
A784896,*Benedict,11/21/2018 03:06:00 PM,11/21/2018 03:06:00 PM,1313 Montopolis Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Rottweiler Mix,Black/Brown
A681630,Ash,06/19/2014 02:53:00 AM,06/19/2014 02:53:00 AM,1520 Rutherford Ln in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 months,Miniature Schnauzer,Gray
A815989,*Waffles,04/02/2020 11:09:00 AM,04/02/2020 11:09:00 AM,801 Sugaree Ave in Austin (TX),Stray,Other,Bird,Unknown,2 months,Parakeet,Blue/Gray
A710658,,08/25/2015 06:56:00 PM,08/25/2015 06:56:00 PM,Austin (TX),Stray,Normal,Cat,Intact Male,7 months,Domestic Shorthair Mix,White
A572003,Brodie,11/26/2015 09:36:00 AM,11/26/2015 09:36:00 AM,2712 Arroyo Blanco in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Harrier/Catahoula,White/Brown
A680908,,06/09/2014 04:54:00 PM,06/09/2014 04:54:00 PM,2214 Haskill St in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Siamese,Flame Point
A793904,Shadow,05/01/2019 03:13:00 PM,05/01/2019 03:13:00 PM,290 W And Circle Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,9 years,Labrador Retriever Mix,Black
A799145,Solo,07/05/2019 01:45:00 PM,07/05/2019 01:45:00 PM,8039 Bark K Ranch Road in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Great Pyrenees,White
A734632,*Lydia,09/10/2016 11:47:00 AM,09/10/2016 11:47:00 AM,15300 Spring Hill Ln in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A675561,*Emily,03/29/2014 12:11:00 PM,03/29/2014 12:11:00 PM,Los Indios Trl & Sir Christophers Cv in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Smooth Fox Terrier Mix,Tricolor
A810833,Riley,12/21/2019 01:33:00 PM,12/21/2019 01:33:00 PM,12401 N Lamar Blvd in Austin (TX),Public Assist,Normal,Dog,Neutered Male,5 years,Labrador Retriever,Tan
A785215,Bully,08/25/2020 03:59:00 PM,08/25/2020 03:59:00 PM,3008 Michoacan Dr in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Pit Bull Mix,White/Black
A705571,*Waylon,06/19/2015 11:30:00 AM,06/19/2015 11:30:00 AM,Outside Jurisdiction,Stray,Normal,Dog,Intact Male,9 months,Bull Terrier Mix,Brown Brindle/White
A706859,,07/04/2015 11:35:00 AM,07/04/2015 11:35:00 AM,7215 Ellington Cir in Austin (TX),Stray,Injured,Cat,Intact Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
A713225,*Pablo,10/04/2015 01:04:00 PM,10/04/2015 01:04:00 PM,Mildred St And E Cesar Chavez St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Longhair Mix,Tan
A681387,King,06/15/2014 08:25:00 PM,06/15/2014 08:25:00 PM,821 Sirocco Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White
A815755,,03/24/2020 09:11:00 PM,03/24/2020 09:11:00 PM,1600 Toomey Rd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A691157,Marigold,10/30/2014 04:27:00 PM,10/30/2014 04:27:00 PM,W. Overroad in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Cairn Terrier/Yorkshire Terrier,Red
A279920,Carry,08/27/2014 01:11:00 PM,08/27/2014 01:11:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,12 years,American Eskimo Mix,Cream
A680269,,05/31/2014 03:54:00 PM,05/31/2014 03:54:00 PM,717 Travis Green Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A811514,,01/04/2020 07:07:00 PM,01/04/2020 07:07:00 PM,Guadalupe Street And Northcross in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair/Dachshund,Tan/White
A768798,,03/25/2018 11:22:00 AM,03/25/2018 11:22:00 AM,9315 Northgate Boulevard in Austin (TX),Stray,Injured,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie
A811187,Oso,12/29/2019 03:28:00 PM,12/29/2019 03:28:00 PM,Lake Creek Pkwy in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
A679325,Jace,05/19/2014 02:10:00 PM,05/19/2014 02:10:00 PM,Del Valle (TX),Owner Surrender,Normal,Dog,Neutered Male,5 months,Australian Cattle Dog/Labrador Retriever,White/Tan
A675148,Freckles,03/24/2014 12:25:00 PM,03/24/2014 12:25:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Australian Cattle Dog Mix,Blue Merle/Tan
A701043,Chico,04/17/2016 10:51:00 AM,04/17/2016 10:51:00 AM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,1 year,Staffordshire Mix,Fawn/White
A794175,,05/04/2019 02:59:00 PM,05/04/2019 02:59:00 PM,12Th Street And Hargraves Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A788164,*Willie,01/27/2019 04:10:00 PM,01/27/2019 04:10:00 PM,4500 Steiner Ranch Road in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Labrador Retriever Mix,Black/White
A688693,Duchess,09/22/2014 01:48:00 PM,09/22/2014 01:48:00 PM,8912 N Lamar in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Labrador Retriever,Tan/Buff
A698363,Brownie,03/10/2015 03:29:00 PM,03/10/2015 03:29:00 PM,Melstone Dr And Lima Dr in Travis (TX),Stray,Normal,Dog,Neutered Male,5 years,Dachshund Mix,Brown/White
A705317,*Gretel,06/15/2015 05:56:00 PM,06/15/2015 05:56:00 PM,515 S Pleasant Valley Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Boxer Mix,Brown Brindle/White
A727995,,05/29/2016 02:17:00 PM,05/29/2016 02:17:00 PM,Springdale Rd And 51St St in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Longhair Mix,Brown Tabby
A766363,Fred,02/07/2018 03:23:00 PM,02/07/2018 03:23:00 PM,Del Valle (TX),Owner Surrender,Normal,Bird,Intact Male,2 years,Cockatiel Mix,Yellow/Black
A769611,*Ginger,04/07/2018 12:27:00 PM,04/07/2018 12:27:00 PM,South Congress Avenue  And West William Cannon Drive in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Rat Terrier Mix,Tan/White
A758680,,09/20/2017 12:20:00 PM,09/20/2017 12:20:00 PM,Del Valle (TX),Owner Surrender,Normal,Dog,Intact Male,1 weeks,Pit Bull Mix,White/Brown
A741120,,12/28/2016 01:54:00 PM,12/28/2016 01:54:00 PM,Rosewood in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Red
A757409,Bentley,09/02/2017 11:42:00 AM,09/02/2017 11:42:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Siamese Mix,Flame Point
A710422,*Rose,08/22/2015 04:27:00 PM,08/22/2015 04:27:00 PM,Timber Creek Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Tan
A712941,Robert,09/30/2015 01:59:00 PM,09/30/2015 01:59:00 PM,15709 812 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,American Bulldog Mix,White/Tan
A721069,Luna,02/20/2016 01:44:00 PM,02/20/2016 01:44:00 PM,Bellflower in Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 years,Domestic Medium Hair Mix,White/Blue
A708468,*Pio,07/28/2015 11:19:00 AM,07/28/2015 11:19:00 AM,N Lamar Blvd & W 51St St in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Pointer Mix,White/Black
A802469,,08/18/2019 03:10:00 PM,08/18/2019 03:10:00 PM,3105 Scenic Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby
A680440,Elle,06/02/2014 06:04:00 PM,06/02/2014 06:04:00 PM,Ridge Oak And Westview in Austin (TX),Stray,Normal,Dog,Spayed Female,12 years,Chihuahua Shorthair/Pug,Tricolor
A767651,Cleo,03/05/2018 01:57:00 AM,03/05/2018 01:57:00 AM,9100 Waterford Crossing Blvd in Austin (TX),Public Assist,Normal,Cat,Spayed Female,3 years,Siamese Mix,Seal Point
A691873,*Payne,11/11/2014 12:57:00 PM,11/11/2014 12:57:00 PM,5108 Bob Wire in Travis (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A702470,Dori,05/14/2015 11:29:00 AM,05/14/2015 11:29:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Torbie
A779335,Koopa,06/12/2019 12:11:00 PM,06/12/2019 12:11:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A793943,,05/02/2019 08:26:00 AM,05/02/2019 08:26:00 AM,1011 Davinson in Austin (TX),Stray,Sick,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Brown
A713852,Peach,10/14/2015 11:34:00 AM,10/14/2015 11:34:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby/White
A706276,,06/26/2015 06:07:00 PM,06/26/2015 06:07:00 PM,1138 Eleanor St in Austin (TX),Stray,Normal,Cat,Intact Female,5 years,Domestic Shorthair Mix,Brown Tabby
A747529,,04/20/2017 06:54:00 PM,04/20/2017 06:54:00 PM,1156 W Cesar Chavez St in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A674356,Cali,03/11/2014 06:57:00 PM,03/11/2014 06:57:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Tortie
A762168,Pancho,11/15/2017 02:38:00 PM,11/15/2017 02:38:00 PM,7337 Manchaca Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A782217,,10/11/2018 06:55:00 PM,10/11/2018 06:55:00 PM,5648 Oak Boulevard in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Medium Hair Mix,Calico
A812551,,01/24/2020 03:24:00 PM,01/24/2020 03:24:00 PM,Austin (TX),Owner Surrender,Normal,Other,Neutered Male,10 months,Sugar Glider,Brown/Tan
A751678,Canela,06/11/2017 11:22:00 AM,06/11/2017 11:22:00 AM,East Highway 71 And Kellam in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Chihuahua Shorthair Mix,Cream
A718748,Casidy,04/28/2016 11:35:00 AM,04/28/2016 11:35:00 AM,1520 Rutherford Ln in Austin (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Carolina Dog Mix,Brown
A804910,,09/20/2019 02:03:00 PM,09/20/2019 02:03:00 PM,9414 North Lamar in Austin (TX),Stray,Normal,Other,Intact Male,6 months,Guinea Pig,Calico
A749312,,05/13/2017 01:14:00 PM,05/13/2017 01:14:00 PM,5002 Caswell Ave in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White
A790337,Cheerio,03/08/2019 02:11:00 PM,03/08/2019 02:11:00 PM,Manor (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,Dachshund Mix,Tan/Black
A710089,*Gia,09/03/2015 03:08:00 PM,09/03/2015 03:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A673106,*Ronnie,02/19/2014 01:51:00 PM,02/19/2014 01:51:00 PM,Travis (TX),Public Assist,Normal,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Tan/Black
A699874,,04/03/2015 03:37:00 PM,04/03/2015 03:37:00 PM,Booth Cir And Amos Dr in Travis (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A802884,,08/24/2019 11:45:00 AM,08/24/2019 11:45:00 AM,16800 Fagerqust in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Toy Poodle/Lhasa Apso,Buff
A642692,Chalmers,03/05/2017 11:32:00 AM,03/05/2017 11:32:00 AM,700 Robert E Lee in Austin (TX),Public Assist,Normal,Dog,Intact Male,5 years,Anatol Shepherd Mix,Tricolor
A756431,*Max,08/19/2017 02:05:00 PM,08/19/2017 02:05:00 PM,8116 Lindin Loop in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Boxer Mix,Tan/White
A764249,Gracie Lee,12/26/2017 01:49:00 PM,12/26/2017 01:49:00 PM,9817 Teasdale Terrace in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Australian Cattle Dog Mix,Black/White
A752742,Elmer,01/09/2018 10:44:00 AM,01/09/2018 10:44:00 AM,207 San Jose St in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,American Bulldog Mix,White/Brown Brindle
A743034,*Kit Kat,02/02/2017 02:19:00 PM,02/02/2017 02:19:00 PM,8220 W Highway 71 Trlr 287 in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Cream Tabby
A792658,Peaches,04/13/2019 03:26:00 PM,04/13/2019 03:26:00 PM,2131 William Barton Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Red
A666227,*Samson,10/28/2013 11:52:00 PM,10/28/2013 11:52:00 PM,183 And Duval in Austin (TX),Stray,Injured,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A792930,,04/17/2019 12:44:00 PM,04/17/2019 12:44:00 PM,1070 Mearns Meadow in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Black
A743962,,02/20/2017 03:57:00 PM,02/20/2017 03:57:00 PM,51St And Avenue F in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Maltese/Yorkshire Terrier,Black/White
A664877,,10/10/2013 12:13:00 PM,10/10/2013 12:13:00 PM,3600 Presidential Blvd (Airport) in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat Mix,Brown
A711510,,09/07/2015 05:17:00 PM,09/07/2015 05:17:00 PM,10000 N Lamar Blvd in Austin (TX),Stray,Normal,Other,Unknown,4 months,Opossum Mix,White/Gray
A796328,,05/31/2019 01:13:00 PM,05/31/2019 01:13:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
A823176,,09/17/2020 04:26:00 PM,09/17/2020 04:26:00 PM,3709 Epperson Trail in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Black
A687199,,09/02/2014 11:03:00 AM,09/02/2014 11:03:00 AM,1909 Bissel Ln in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Medium Hair Mix,Black
A619664,Precious,08/05/2015 11:34:00 AM,08/05/2015 11:34:00 AM,6804 Bitteroot Trl in Austin (TX),Stray,Normal,Dog,Spayed Female,15 years,Chihuahua Shorthair Mix,White/Tan
A706093,,06/24/2015 12:17:00 PM,06/24/2015 12:17:00 PM,5702 Richmond Ave in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Black
A666543,Blade,11/26/2013 12:54:00 PM,11/26/2013 12:54:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair/Dachshund,Red/White
A764019,Mac,12/20/2017 12:25:00 PM,12/20/2017 12:25:00 PM,Crown Colony And Onion Creek Parkway in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
A693052,Steve,12/01/2014 11:00:00 AM,12/01/2014 11:00:00 AM,8515 Brodie Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Rat Terrier Mix,Tricolor
A689080,*Lupe,07/01/2015 01:16:00 PM,07/01/2015 01:16:00 PM,12006 Arrowwood in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White
A671368,,01/23/2014 11:00:00 AM,01/23/2014 11:00:00 AM,Montopolis And Ponca in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Pinscher/Chihuahua Shorthair,Chocolate/Tan
A757270,,09/01/2017 09:49:00 AM,09/01/2017 09:49:00 AM,3129 E 12Th St in Austin (TX),Stray,Sick,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black
A813795,,02/18/2020 04:06:00 PM,02/18/2020 04:06:00 PM,Austin (TX),Owner Surrender,Normal,Other,Unknown,3 months,Guinea Pig,Tricolor
A805447,Charley,09/27/2019 12:42:00 PM,09/27/2019 12:42:00 PM,40 N Ih-35 in Austin (TX),Owner Surrender,Behavior,Dog,Intact Male,2 months,Cavalier Span,Tricolor
A725034,,04/24/2016 05:24:00 PM,04/24/2016 05:24:00 PM,Ramble in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Squirrel Mix,Brown
A792830,Pancake,04/15/2019 06:54:00 PM,04/15/2019 06:54:00 PM,13021 Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever,Tan/Black
A697912,Rex,03/03/2015 03:13:00 PM,03/03/2015 03:13:00 PM,Paseo De Presidente Blvd & Wt Gallaway St in Manor (TX),Stray,Normal,Dog,Neutered Male,1 year,Siberian Husky Mix,White
A786790,Chaos,01/02/2019 09:28:00 AM,01/02/2019 09:28:00 AM,5200 East Highway 71 in Del Valle (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle/White
A548247,Chico,09/16/2016 09:46:00 AM,09/16/2016 09:46:00 AM,Ross Rd And Pearce Ln in Travis (TX),Stray,Normal,Dog,Neutered Male,15 years,Chihuahua Shorthair Mix,Tan
A771886,Felicia,05/11/2018 02:11:00 PM,05/11/2018 02:11:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby/White
A742527,Evvy,01/23/2017 01:01:00 PM,01/23/2017 01:01:00 PM,Wickersham Lane And East Riverside Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pomeranian Mix,Black/Tan
A725012,Billy,04/24/2016 12:45:00 PM,04/24/2016 12:45:00 PM,E Riverside Dr & Kirksey Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,10 years,Bichon Frise Mix,White
A738509,*Jake,11/16/2016 04:23:00 PM,11/16/2016 04:23:00 PM,13624 Theodore Roosevel Dr in Manor (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Yellow
A798452,,06/26/2019 12:00:00 PM,06/26/2019 12:00:00 PM,Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair,Orange Tabby
A789906,Cedric,03/01/2019 04:19:00 PM,03/01/2019 04:19:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/Brown
A661386,Pinto,11/01/2013 01:04:00 PM,11/01/2013 01:04:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Labrador Retriever/Great Pyrenees,Black
A812880,,01/30/2020 12:25:00 PM,01/30/2020 12:25:00 PM,7613 Nez Perce Trace in Travis (TX),Stray,Normal,Cat,Intact Female,8 months,Domestic Longhair,Brown Tabby
A706207,Jake,10/11/2015 12:45:00 PM,10/11/2015 12:45:00 PM,Oltorf St & S Congress in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Yellow
A792897,,04/16/2019 06:55:00 PM,04/16/2019 06:55:00 PM,2412 Bitter Creek in Austin (TX),Stray,Normal,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby
A723730,,04/05/2016 04:49:00 PM,04/05/2016 04:49:00 PM,Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat Mix,Brown
A678083,*Aspen,05/03/2014 04:18:00 PM,05/03/2014 04:18:00 PM,4710 Carson Hill Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A680585,*Olivia,06/04/2014 03:47:00 PM,06/04/2014 03:47:00 PM,2002 Millhouse in Pflugerville (TX),Stray,Sick,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A733825,Jacob,08/27/2016 03:53:00 PM,08/27/2016 03:53:00 PM,Travis (TX),Owner Surrender,Normal,Other,Intact Male,1 year,Rabbit Sh Mix,White/Brown
A669103,Canelo,12/14/2013 02:15:00 PM,12/14/2013 02:15:00 PM,4600 Brassiewood in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Collie Rough Mix,Brown/White
A779186,,09/30/2018 01:17:00 PM,09/30/2018 01:17:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Blue Tabby
A628470,Blues,10/22/2013 06:31:00 PM,10/22/2013 06:31:00 PM,Parmer & Metric in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Siberian Husky Mix,Gray/White
A695713,,01/21/2015 09:42:00 AM,01/21/2015 09:42:00 AM,715 E 8Th St in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A799226,,07/06/2019 11:11:00 AM,07/06/2019 11:11:00 AM,12013 Hiway 290 West in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair,Black
A730531,Olive,07/06/2016 11:02:00 AM,07/06/2016 11:02:00 AM,4620 Raintree Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,4 weeks,Australian Shepherd/Cardigan Welsh Corgi,Chocolate/White
A754453,,07/21/2017 11:01:00 AM,07/21/2017 11:01:00 AM,15109 Oklahoma in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby
A681928,,06/21/2014 04:38:00 PM,06/21/2014 04:38:00 PM,3505 Crownover St in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A702258,,05/11/2015 02:19:00 PM,05/11/2015 02:19:00 PM,5333 Thunder Creek Rd in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue/White
A748781,,05/06/2017 03:11:00 PM,05/06/2017 03:11:00 PM,1834 Ferguson in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Siamese Mix,Lynx Point
A675567,Lola,03/29/2014 12:40:00 PM,03/29/2014 12:40:00 PM,3603 Abbate Cir in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Siberian Husky Mix,Black/White
A744193,Max,02/25/2017 08:30:00 AM,02/25/2017 08:30:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Male,4 months,Cairn Terrier Mix,Tan/White
A808122,Marley,11/04/2019 01:50:00 PM,11/04/2019 01:50:00 PM,7215 Cameron Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Longhair/Australian Cattle Dog,White/Red
